3342	Giuseppe Riva	3344	Andrea Gaggioli	0.9736567732046407
4537	Christian Terboven	4538	Dirk Schmidl	0.9735783763017181
553	Abeer Alwan	6532	Hideki Banno	0.9733504377044068
2292	Nobuaki Minematsu	2838	Phil D. Green	0.9732485538115649
2789	Jean Paul Haton	8497	Martti Vainio	0.9726054322262845
2607	Patrick Cardinal	2838	Phil D. Green	0.9725238903378618
2292	Nobuaki Minematsu	2607	Patrick Cardinal	0.9725225629372424
1550	Yu Ting Yeung	6532	Hideki Banno	0.9724372232082447
2292	Nobuaki Minematsu	2706	Sorin Dusan	0.9723551721871083
2997	Andrew C. Morris	8497	Martti Vainio	0.9723220162090233
3524	Eduardo Lleida	6535	Toshio Irino	0.9722407710253282
1482	Grzegorz Dogil	5897	Takayuki Arai	0.9719812837808881
3522	Luis Buera	3524	Eduardo Lleida	0.9718749423759598
3816	Robert O. Briggs	4038	Eric K. Clemons	0.9715070092669952
1483	Bernd Möbius	2838	Phil D. Green	0.9713146330992055
5801	Tanja Schultz	6532	Hideki Banno	0.9710871561397076
2706	Sorin Dusan	8497	Martti Vainio	0.9710720820789547
2789	Jean Paul Haton	2997	Andrew C. Morris	0.9709201594164845
1592	Paul Dalsgaard	6538	Driss Matrouf	0.9708598033453055
